X,Y,name,datetime
-7.231248,57.6706112,EA49502,2023-07-22T15:07:00.000000Z
-7.2313416,57.6705728,EA49502,2023-07-22T15:12:00.000000Z
-7.2313312,57.6705472,EA49502,2023-07-22T15:17:00.000000Z
-7.2313792,57.6705856,EA49502,2023-07-22T15:22:00.000000Z
-7.2312376,57.67056,EA49502,2023-07-22T15:27:00.000000Z
-7.2312136,57.6705536,EA49502,2023-07-22T15:32:00.000000Z
-7.2311312,57.6705408,EA49502,2023-07-22T15:37:00.000000Z
-7.2311032,57.6705536,EA49502,2023-07-22T15:42:00.000000Z
-7.2308136,57.6704448,EA49502,2023-07-22T15:47:00.000000Z
-7.230184,57.6691968,EA49502,2023-07-22T15:52:00.000000Z
-7.2315584,57.6689152,EA49502,2023-07-22T15:57:00.000000Z
-7.2299816,57.6695104,EA49502,2023-07-22T15:58:00.000000Z
-7.2301304,57.6694528,EA49502,2023-07-22T15:59:00.000000Z
-7.2301216,57.669536,EA49502,2023-07-22T16:00:00.000000Z
-7.2304728,57.6694784,EA49502,2023-07-22T16:02:00.000000Z
-7.2339192,57.670976,EA49502,2023-07-22T16:07:00.000000Z
-7.233296,57.671072,EA49502,2023-07-22T16:08:00.000000Z
-7.2332816,57.6710528,EA49502,2023-07-22T16:09:00.000000Z
-7.2331632,57.670976,EA49502,2023-07-22T16:10:00.000000Z
-7.2330296,57.6709952,EA49502,2023-07-22T16:12:00.000000Z
-7.2387416,57.6737216,EA49502,2023-07-22T16:17:00.000000Z
-7.2387048,57.6737536,EA49502,2023-07-22T16:22:00.000000Z
-7.2385256,57.673792,EA49502,2023-07-22T16:27:00.000000Z
-7.2384912,57.6737216,EA49502,2023-07-22T16:32:00.000000Z
-7.2384856,57.6737728,EA49502,2023-07-22T16:37:00.000000Z
-7.238256,57.6736128,EA49502,2023-07-22T16:42:00.000000Z
-7.2381896,57.6736448,EA49502,2023-07-22T16:47:00.000000Z
-7.2381896,57.6736512,EA49502,2023-07-22T16:52:00.000000Z
-7.2380624,57.6735552,EA49502,2023-07-22T16:57:00.000000Z
-7.2380024,57.6735104,EA49502,2023-07-22T17:03:00.000000Z
-7.2379904,57.67344,EA49502,2023-07-22T17:07:00.000000Z
-7.2303416,57.6693824,EA49502,2023-07-22T17:12:00.000000Z
-7.230304,57.6693376,EA49502,2023-07-22T17:17:00.000000Z
-7.2304824,57.6692672,EA49502,2023-07-22T17:22:00.000000Z
